# Source file /Users/cmantill/LDMX/ldmxsw/MarTB/ldmx-tb-online/near-offline/hcal/calibration_data/20220422/pedestal_DPM0_20220422_073937.raw
# Produced 2022-05-14 14:58:18 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.993,    2.193
0x18800101,   94.787,    2.278
0x18800102,   92.411,    1.930
0x18800103,   91.817,    1.886
0x18800104,  104.827,    3.438
0x18800105,  101.755,    3.446
0x18800106,  101.131,    3.702
0x18800107,  104.894,    3.460
0x18800200,   99.883,    5.625
0x18800201,  102.294,    5.940
0x18800202,   95.604,    2.908
0x18800203,  101.931,    5.379
0x18800204,   94.484,    2.115
0x18800205,   98.758,    4.093
0x18800206,  105.747,    3.353
0x18800207,  100.403,    7.039
0x18800300,   93.652,    5.212
0x18800301,   91.549,    4.399
0x18800302,  102.690,    6.760
0x18800303,   98.151,    5.196
0x18800304,   99.012,    8.919
0x18800305,  101.306,    5.734
0x18800306,  101.527,    5.333
0x18800307,  102.611,    5.847
0x18800400,  103.459,    5.230
0x18800401,   99.971,    5.048
0x18800402,  103.532,    5.744
0x18800403,   98.060,    5.128
0x18800404,   97.266,    5.514
0x18800405,   95.339,    3.660
0x18800406,   94.969,    3.806
0x18800407,   95.808,    8.188
0x18800500,  104.957,    2.348
0x18800501,   96.405,    8.355
0x18800502,   98.648,    5.139
0x18800503,   92.947,    2.915
0x18800504,  102.967,    3.770
0x18800505,  100.408,    4.650
0x18800506,  102.834,    2.012
0x18800507,   91.507,    1.979
0x18800600,  105.432,    3.441
0x18800601,   93.002,    2.353
0x18800602,  104.274,    2.902
0x18800603,   94.226,    3.187
0x18800604,   97.549,    2.234
0x18800605,   96.469,    7.007
0x18800606,   99.778,    3.830
0x18800607,   92.103,    2.635
0x18800700,   97.185,    2.073
0x18800701,   97.856,    4.526
0x18800702,   95.666,    4.158
0x18800703,  102.301,    2.672
0x18800704,   97.279,    4.348
0x18800705,   97.756,    5.403
0x18800706,  133.797,   30.733
0x18800707,   97.915,    6.646
0x18800800,   99.365,    3.439
0x18800801,   96.572,    2.900
0x18800802,   95.072,    2.521
0x18800803,   98.511,    3.907
0x18800804,   94.308,    2.682
0x18800805,   99.493,    5.105
0x18800806,  102.255,    2.811
0x18800807,  105.590,    3.615
0x18800900,  100.600,    6.405
0x18800901,   97.037,    3.474
0x18800902,   96.037,    6.225
0x18800903,   94.764,    3.172
0x18800904,   99.579,    3.565
0x18800905,   99.474,    9.567
0x18800906,   97.509,    4.856
0x18800907,  101.091,    4.099
0x18800a00,   93.643,    3.048
0x18800a01,   93.744,    4.101
0x18800a02,   95.994,    4.307
0x18800a03,   99.704,    6.313
0x18800a04,  105.181,    3.013
0x18800a05,   99.675,    3.112
0x18800a06,   94.299,    2.908
0x18800a07,   98.360,    8.382
0x18800a08,   98.337,    3.429
0x18800a09,  100.134,    6.337
0x18800a0a,  100.079,    7.176
0x18800a0b,  100.658,    4.641
0x18800b00,  106.254,    2.247
0x18800b01,   98.327,    3.927
0x18800b02,  103.574,    2.660
0x18800b03,  101.653,    4.051
0x18800b04,   99.862,    7.796
0x18800b05,   98.416,    6.760
0x18800b06,   95.151,    2.665
0x18800b07,  105.648,    3.184
0x18800b08,   96.848,    2.549
0x18800b09,  104.739,    3.090
0x18800b0a,  100.383,    5.924
0x18800b0b,  100.450,    7.669
0x18880100,  104.548,    2.457
0x18880101,   96.157,    2.545
0x18880102,  103.783,    2.274
0x18880103,  102.557,    1.955
0x18880104,  102.019,    6.496
0x18880105,   94.263,    2.881
0x18880106,   99.360,    7.021
0x18880107,  105.828,    2.674
0x18880200,  101.264,    6.720
0x18880201,  104.413,    3.914
0x18880202,   99.895,    5.534
0x18880203,  104.710,    3.795
0x18880204,   92.934,    4.367
0x18880205,   96.210,    3.621
0x18880206,  101.766,    3.567
0x18880207,   99.544,    5.694
0x18880300,   94.187,    5.720
0x18880301,   98.173,    8.547
0x18880302,  103.216,    6.558
0x18880303,   96.986,    5.335
0x18880304,   96.667,    5.413
0x18880305,  102.187,    5.545
0x18880306,  106.193,    5.214
0x18880307,   98.835,    6.000
0x18880400,   95.529,    4.987
0x18880401,  102.205,    4.938
0x18880402,   97.580,    5.879
0x18880403,   95.379,    5.196
0x18880404,   99.255,    6.122
0x18880405,   97.120,    5.368
0x18880406,   98.267,    4.545
0x18880407,  100.512,    7.477
0x18880500,   95.462,    3.490
0x18880501,   99.743,    7.704
0x18880502,   97.937,    3.489
0x18880503,   95.292,    6.102
0x18880504,   94.680,    3.086
0x18880505,   93.403,    2.610
0x18880506,   98.806,    3.872
0x18880507,   92.968,    4.202
0x18880600,  104.242,    5.183
0x18880601,   96.431,    2.085
0x18880602,  101.266,    2.085
0x18880603,   93.126,    2.220
0x18880604,  103.207,    3.647
0x18880605,   91.712,    1.835
0x18880606,  136.311,   28.662
0x18880607,   99.630,    3.638
0x18880700,   97.952,    3.053
0x18880701,   92.374,    2.772
0x18880702,   97.811,    2.603
0x18880703,   96.101,    6.472
0x18880704,  100.407,    4.816
0x18880705,  102.320,    2.253
0x18880706,  101.273,    2.728
0x18880707,   99.621,    4.872
0x18880800,   98.467,    4.000
0x18880801,   99.373,    5.839
0x18880802,  102.954,    2.408
0x18880803,   96.832,    5.004
0x18880804,  103.089,    3.266
0x18880805,  102.543,    3.926
0x18880806,   96.218,    2.888
0x18880807,  101.054,    7.215
0x18880900,   96.682,    3.872
0x18880901,   90.735,    3.546
0x18880902,  104.165,    4.852
0x18880903,   96.554,    6.371
0x18880904,  101.459,    6.175
0x18880905,  105.357,    4.174
0x18880906,   95.472,    3.079
0x18880907,   97.345,    4.537
0x18880a00,   91.729,    3.083
0x18880a01,  101.204,    6.903
0x18880a02,   98.760,    6.902
0x18880a03,   99.784,    3.710
0x18880a04,   96.450,    3.569
0x18880a05,  101.040,    7.102
0x18880a06,   94.716,    3.407
0x18880a07,   97.589,    6.004
0x18880a08,  100.516,    7.647
0x18880a09,   99.455,    5.866
0x18880a0a,   97.742,    5.882
0x18880a0b,   96.439,    2.836
0x18880b00,   98.716,    4.563
0x18880b01,  100.635,    6.333
0x18880b02,   94.938,    2.923
0x18880b03,   96.829,    4.651
0x18880b04,  105.208,    2.895
0x18880b05,  106.249,    3.067
0x18880b06,  104.911,    2.858
0x18880b07,  100.265,    2.449
0x18880b08,  101.786,    2.900
0x18880b09,  104.977,    2.541
0x18880b0a,  102.637,    5.354
0x18880b0b,   96.652,    2.306
