# Source file /Users/cmantill/LDMX/ldmxsw/MarTB/ldmx-tb-online/near-offline/hcal/calibration_data/20220424/pedestal_DPM0_20220424_220632.raw
# Produced 2022-05-14 14:36:34 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.511,    1.660
0x18800101,   94.265,    1.783
0x18800102,   91.810,    1.836
0x18800103,   91.331,    1.840
0x18800104,  103.401,    2.238
0x18800105,   98.836,    2.245
0x18800106,  102.340,    2.331
0x18800107,   96.947,    3.600
0x18800200,   94.767,    1.911
0x18800201,   96.402,    2.360
0x18800202,   95.832,    2.516
0x18800203,  106.260,    2.547
0x18800204,   93.601,    1.471
0x18800205,   95.254,    1.463
0x18800206,  107.011,    2.509
0x18800207,  106.171,    2.608
0x18800300,   91.249,    3.933
0x18800301,   91.492,    3.946
0x18800302,   98.013,    3.549
0x18800303,  101.987,    3.412
0x18800304,   92.734,    4.621
0x18800305,  105.209,    4.734
0x18800306,   99.452,    4.073
0x18800307,   99.581,    4.014
0x18800400,  106.735,    4.443
0x18800401,  103.026,    4.077
0x18800402,  107.041,    4.190
0x18800403,  100.621,    4.007
0x18800404,  101.668,    4.146
0x18800405,   96.340,    4.379
0x18800406,   96.283,    4.213
0x18800407,  103.702,    4.023
0x18800500,  104.471,    2.158
0x18800501,   88.437,    2.030
0x18800502,   93.840,    1.938
0x18800503,   94.847,    1.716
0x18800504,  105.990,    2.173
0x18800505,  104.835,    2.047
0x18800506,  103.076,    2.064
0x18800507,   90.943,    1.848
0x18800600,  108.614,    2.122
0x18800601,   92.033,    2.091
0x18800602,  102.485,    1.778
0x18800603,   96.309,    2.160
0x18800604,   96.419,    2.113
0x18800605,  102.915,    2.103
0x18800606,  102.864,    1.930
0x18800607,   93.918,    1.728
0x18800700,   99.267,    1.640
0x18800701,   93.874,    1.304
0x18800702,   92.486,    1.610
0x18800703,  101.042,    1.588
0x18800704,  101.860,    1.538
0x18800705,  103.437,    1.588
0x18800706,  165.138,    5.476
0x18800707,   92.118,    1.619
0x18800800,  102.521,    1.373
0x18800801,   99.433,    1.727
0x18800802,   94.781,    1.496
0x18800803,   95.588,    1.658
0x18800804,   93.745,    1.390
0x18800805,   95.477,    1.446
0x18800806,  103.984,    1.678
0x18800807,  103.457,    1.600
0x18800900,   94.064,    2.615
0x18800901,   94.887,    2.550
0x18800902,  100.895,    3.361
0x18800903,   95.694,    2.711
0x18800904,  101.790,    3.185
0x18800905,  108.955,    2.184
0x18800906,  101.218,    2.907
0x18800907,  103.692,    2.657
0x18800a00,   93.541,    3.325
0x18800a01,   90.912,    3.067
0x18800a02,   99.410,    2.828
0x18800a03,  105.166,    3.060
0x18800a04,  103.862,    3.204
0x18800a05,   98.424,    3.177
0x18800a06,   93.966,    2.828
0x18800a07,   90.144,    3.454
0x18800a08,   95.636,    2.206
0x18800a09,   94.351,    2.185
0x18800a0a,   93.056,    2.222
0x18800a0b,   96.382,    2.277
0x18800b00,  106.407,    2.144
0x18800b01,   94.794,    2.253
0x18800b02,  101.510,    1.904
0x18800b03,  105.041,    1.858
0x18800b04,   92.949,    2.760
0x18800b05,   92.297,    2.620
0x18800b06,   94.550,    2.465
0x18800b07,  107.870,    1.956
0x18800b08,   97.733,    1.976
0x18800b09,  102.703,    1.873
0x18800b0a,  104.065,    1.833
0x18800b0b,  107.999,    1.842
0x18800c00,   94.575,    1.897
0x18800c01,   98.683,    2.341
0x18800c02,  100.452,    2.230
0x18800c03,  106.851,    2.228
0x18800c04,  100.325,    2.386
0x18800c05,   93.741,    1.847
0x18800c06,   93.843,    1.524
0x18800c07,   98.494,    2.560
0x18800c08,  104.925,    2.027
0x18800c09,   92.925,    1.961
0x18800c0a,   92.472,    2.070
0x18800c0b,  101.096,    2.249
0x18800d00,   93.994,    1.342
0x18800d01,   96.546,    2.267
0x18800d02,  101.430,    2.154
0x18800d03,   91.473,    2.054
0x18800d04,  100.868,    2.173
0x18800d05,  102.401,    2.158
0x18800d06,   94.519,    1.874
0x18800d07,  104.457,    2.126
0x18800d08,   94.271,    1.731
0x18800d09,  106.050,    2.049
0x18800d0a,  103.654,    1.950
0x18800d0b,   93.980,    1.788
0x18800e00,   91.781,    2.071
0x18800e01,   94.479,    1.769
0x18800e02,  104.542,    2.087
0x18800e03,   91.297,    2.048
0x18800e04,  106.355,    2.047
0x18800e05,  102.714,    1.654
0x18800e06,   92.818,    1.648
0x18800e07,  103.907,    1.597
0x18800e08,   90.812,    1.842
0x18800e09,   94.163,    1.295
0x18800e0a,  103.219,    1.613
0x18800e0b,   93.820,    1.284
0x18800f00,  106.796,    1.697
0x18800f01,  106.749,    1.727
0x18800f02,   96.193,    1.734
0x18800f03,   93.755,    1.484
0x18800f04,   92.664,    1.568
0x18800f05,   91.604,    1.637
0x18800f06,   94.793,    1.464
0x18800f07,   90.139,    1.444
0x18800f08,   97.975,    1.663
0x18800f09,  100.953,    1.405
0x18800f0a,   90.285,    1.385
0x18800f0b,   98.390,    1.536
0x18801000,   98.860,    1.483
0x18801001,  102.976,    1.334
0x18801002,   96.947,    1.742
0x18801003,   97.230,    1.762
0x18801004,   95.220,    1.093
0x18801005,   99.473,    1.707
0x18801006,   95.551,    1.332
0x18801007,   90.970,    1.501
0x18801008,   98.533,    1.584
0x18801009,  101.622,    1.340
0x1880100a,   94.360,    1.156
0x1880100b,   97.879,    1.995
0x18801100,  104.498,    1.375
0x18801101,   95.094,    1.338
0x18801102,  103.168,    1.511
0x18801103,  101.514,    1.439
0x18801104,   90.295,    1.522
0x18801105,   96.615,    1.827
0x18801106,  102.590,    1.428
0x18801107,  101.713,    1.422
0x18801108,   90.818,    3.507
0x18801109,   97.633,    1.867
0x1880110a,   94.532,    1.091
0x1880110b,  102.473,    1.443
0x18801200,  102.404,    1.319
0x18801201,  106.310,    1.455
0x18801202,   92.301,    1.470
0x18801203,   91.803,    1.415
0x18801204,   95.225,    1.185
0x18801205,   93.351,    1.297
0x18801206,   96.376,    1.725
0x18801207,   93.663,    1.266
0x18801208,   93.869,    1.239
0x18801209,   98.688,    1.675
0x1880120a,   98.928,    1.652
0x1880120b,  101.536,    1.360
0x18801301,  101.958,    1.461
0x18801302,  102.789,    1.491
0x18801303,  103.828,    1.459
0x18801304,   97.007,    1.977
0x18801305,  103.444,    1.973
0x18801306,   95.811,    1.649
0x18801307,  103.306,    5.921
0x18801308,   95.895,    1.656
0x18801309,  106.246,    5.888
0x1880130a,   95.004,    0.971
0x1880130b,   93.191,    5.522
0x18880100,  103.475,    1.895
0x18880101,   95.746,    1.708
0x18880102,  103.272,    2.171
0x18880103,  102.168,    2.246
0x18880104,   94.842,    1.865
0x18880105,   93.164,    2.000
0x18880106,  105.193,    2.219
0x18880107,  105.764,    2.369
0x18880200,   95.164,    1.829
0x18880201,  102.057,    2.225
0x18880202,  104.439,    2.218
0x18880203,  107.371,    2.497
0x18880204,   94.726,    1.270
0x18880205,   94.660,    1.720
0x18880206,  101.795,    1.995
0x18880207,  103.616,    1.864
0x18880300,   96.879,    4.042
0x18880301,   92.262,    4.133
0x18880302,  108.246,    4.118
0x18880303,   94.748,    4.084
0x18880304,   98.849,    4.178
0x18880305,  104.588,    4.279
0x18880306,  106.164,    4.615
0x18880307,   95.490,    4.409
0x18880400,   95.533,    4.391
0x18880401,  101.250,    4.111
0x18880402,  101.428,    3.958
0x18880403,   98.358,    4.173
0x18880404,   94.848,    4.219
0x18880405,   94.020,    4.306
0x18880406,   97.050,    3.833
0x18880407,   94.193,    3.932
0x18880500,   97.922,    2.266
0x18880501,  107.650,    2.453
0x18880502,  100.742,    2.459
0x18880503,  101.121,    2.557
0x18880504,   93.225,    1.969
0x18880505,   92.680,    1.839
0x18880506,   95.514,    1.939
0x18880507,   89.774,    1.937
0x18880600,  100.175,    2.227
0x18880601,   96.214,    2.041
0x18880602,  102.258,    2.033
0x18880603,   94.361,    1.666
0x18880604,  106.079,    2.034
0x18880605,   92.299,    1.865
0x18880606,  109.102,    1.728
0x18880607,   96.690,    1.910
0x18880700,  100.977,    1.685
0x18880701,   90.256,    1.512
0x18880702,   97.349,    1.791
0x18880703,   90.760,    1.561
0x18880704,   96.323,    1.638
0x18880705,  102.440,    1.458
0x18880706,   99.969,    1.763
0x18880707,  104.811,    1.676
0x18880800,  102.320,    1.668
0x18880801,  105.093,    1.735
0x18880802,  104.185,    1.623
0x18880803,   92.554,    1.748
0x18880804,  105.222,    1.600
0x18880805,  105.046,    1.597
0x18880806,   96.778,    1.803
0x18880807,   94.310,    1.263
0x18880900,   95.938,    3.179
0x18880901,   89.150,    3.249
0x18880902,  100.730,    3.177
0x18880903,  102.442,    2.238
0x18880904,  107.371,    2.012
0x18880905,  107.867,    2.558
0x18880906,   96.555,    3.134
0x18880907,  100.097,    3.352
0x18880a00,   90.796,    3.257
0x18880a01,  107.479,    3.055
0x18880a02,   92.407,    2.748
0x18880a03,   98.273,    3.743
0x18880a04,   98.219,    3.252
0x18880a05,   94.708,    2.857
0x18880a06,   94.909,    2.822
0x18880a07,  102.438,    2.952
0x18880a08,   92.683,    2.942
0x18880a09,   94.409,    2.335
0x18880a0a,   92.957,    2.582
0x18880a0b,   94.851,    2.371
0x18880b00,   95.058,    2.444
0x18880b01,  106.112,    1.730
0x18880b02,   95.218,    2.448
0x18880b03,  100.820,    1.941
0x18880b04,  104.778,    1.819
0x18880b05,  107.177,    2.001
0x18880b06,  105.978,    1.950
0x18880b07,  100.959,    2.346
0x18880b08,  101.501,    1.801
0x18880b09,  105.289,    1.801
0x18880b0a,   97.947,    2.144
0x18880b0b,   97.630,    2.393
0x18880c00,  102.992,    2.296
0x18880c01,   95.268,    2.059
0x18880c02,   92.360,    2.080
0x18880c03,   94.859,    1.645
0x18880c04,  108.471,    2.095
0x18880c05,   95.785,    2.022
0x18880c06,   93.768,    1.816
0x18880c07,  108.034,    2.149
0x18880c08,  109.952,    2.075
0x18880c09,   94.552,    1.757
0x18880c0a,  108.699,    2.139
0x18880c0b,   98.583,    2.399
0x18880d00,  103.608,    2.084
0x18880d01,   96.644,    2.251
0x18880d02,  104.214,    2.019
0x18880d03,  101.225,    2.043
0x18880d04,  100.785,    2.321
0x18880d05,   96.818,    2.078
0x18880d06,   89.276,    2.130
0x18880d07,   92.877,    1.946
